cumulative_sum,sample,method
9.723417164631348,100,IG
9.621909581073279,101,IG
9.494922340302987,102,IG
9.438809486151252,103,IG
9.579674561136253,104,IG
9.510575115578149,105,IG
9.45475354839023,106,IG
9.373774370838495,107,IG
9.619956527479568,108,IG
9.481287424430445,109,IG
9.409596208404794,110,IG
9.178247684133034,111,IG
9.095641568259504,112,IG
9.186993373339392,113,IG
9.102230694653727,114,IG
9.026090660811738,115,IG
8.823720134114907,116,IG
8.847339885657139,117,IG
8.94925271498408,118,IG
8.872160987448645,119,IG
8.795474763264197,120,IG
8.738825890558623,121,IG
8.687481821937812,122,IG
8.833668754621376,123,IG
8.892679727508602,124,IG
8.818447083261221,125,IG
8.756191641342678,126,IG
8.604055287652582,127,IG
8.598336593903252,128,IG
8.461867405981724,129,IG
8.326085468290302,130,IG
8.27204045291244,131,IG
8.44867137980239,132,IG
8.667303634884975,133,IG
9.004498049009324,134,IG
8.941198891622461,135,IG
8.930502534664752,136,IG
8.870557376972435,137,IG
8.717569953984292,138,IG
8.68032892263359,139,IG
8.616506651214571,140,IG
8.552249053986737,141,IG
8.538242683849672,142,IG
8.481925539142829,143,IG
8.375537659713336,144,IG
8.317977719086095,145,IG
8.287243147946903,146,IG
8.299652002190042,147,IG
8.228584186156207,148,IG
8.137551030823708,149,IG
8.075719469535413,150,IG
8.16690247551817,151,IG
8.298155679401901,152,IG
8.449906283118038,153,IG
8.692197389360905,154,IG
8.636268883872031,155,IG
8.576121678123187,156,IG
8.52969482252722,157,IG
8.639034540688577,158,IG
8.707008022332149,159,IG
8.650820313228055,160,IG
8.743362331706448,161,IG
8.715603548312941,162,IG
8.708481126540514,163,IG
8.576808374817432,164,IG
8.514155811727353,165,IG
8.588643982156118,166,IG
8.613791170066753,167,IG
8.565393950339892,168,IG
8.505361994414459,169,IG
8.500328052059462,170,IG
8.478988753837225,171,IG
8.416267165264305,172,IG
8.326556505972876,173,IG
8.274217986184729,174,IG
8.216999543630859,175,IG
8.172082724229007,176,IG
8.209454118693724,177,IG
8.171801409997618,178,IG
8.127837759047127,179,IG
8.061264694313012,180,IG
7.999612992689405,181,IG
8.017313268189012,182,IG
7.995372980947008,183,IG
7.956623205957352,184,IG
7.969804151460826,185,IG
7.91806777819917,186,IG
7.880028833141415,187,IG
7.8285383421686925,188,IG
7.847320358655003,189,IG
7.8303323381903,190,IG
7.810093700772865,191,IG
7.776691395479923,192,IG
7.722793875688113,193,IG
7.661341376205867,194,IG
7.625750963037487,195,IG
7.574172339383779,196,IG
7.663038803503613,197,IG
7.605242636167956,198,IG
7.611963360436165,199,IG
7.579498016262298,200,IG
10.629323959350586,0,Target
10.629323959350586,1,Target
10.629323959350586,2,Target
10.629323959350586,3,Target
10.629323959350586,4,Target
10.629323959350586,5,Target
10.629323959350586,6,Target
10.629323959350586,7,Target
10.629323959350586,8,Target
10.629323959350586,9,Target
10.629323959350586,10,Target
10.629323959350586,11,Target
10.629323959350586,12,Target
10.629323959350586,13,Target
10.629323959350586,14,Target
10.629323959350586,15,Target
10.629323959350586,16,Target
10.629323959350586,17,Target
10.629323959350586,18,Target
10.629323959350586,19,Target
10.629323959350586,20,Target
10.629323959350586,21,Target
10.629323959350586,22,Target
10.629323959350586,23,Target
10.629323959350586,24,Target
10.629323959350586,25,Target
10.629323959350586,26,Target
10.629323959350586,27,Target
10.629323959350586,28,Target
10.629323959350586,29,Target
10.629323959350586,30,Target
10.629323959350586,31,Target
10.629323959350586,32,Target
10.629323959350586,33,Target
10.629323959350586,34,Target
10.629323959350586,35,Target
10.629323959350586,36,Target
10.629323959350586,37,Target
10.629323959350586,38,Target
10.629323959350586,39,Target
10.629323959350586,40,Target
10.629323959350586,41,Target
10.629323959350586,42,Target
10.629323959350586,43,Target
10.629323959350586,44,Target
